Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14006_001,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005
"340130020001","Block Group 1, Census Tract 20, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,649,649,0,561,0,0,0,88,0,451,42,222,124,63,0,0,0,99,0,99,444,326,118,,,,,,,,,,,,,,,,
"340130020002","Block Group 2, Census Tract 20, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1979,1979,58,1891,0,0,0,12,18,1587,436,632,359,114,34,12,0,82,0,82,696,641,55,20331,,,,,,,,,,20331,,,,,
"340130020003","Block Group 3, Census Tract 20, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1862,1862,0,1797,0,0,0,22,43,1323,86,722,375,140,0,0,0,110,0,110,1315,1205,110,35729,,,,,,,,,,35729,,,,,
"340130021001","Block Group 1, Census Tract 21, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,719,719,28,627,0,10,0,0,54,499,18,199,265,17,0,0,0,143,0,143,401,375,26,35641,,,,,,,,,,35641,,,,,
"340130021002","Block Group 2, Census Tract 21, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,360,360,13,336,0,11,0,0,0,279,81,93,60,25,20,0,0,19,0,19,204,186,18,47917,,,,,,,,,,47917,,,,,
"340130021003","Block Group 3, Census Tract 21, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,981,981,13,968,0,0,0,0,0,570,28,207,171,81,31,27,25,179,0,179,434,362,72,,,,,,,,,,,,,,,,
"340130021004","Block Group 4, Census Tract 21, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002100","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4",,,,758,758,0,758,0,0,0,0,0,520,22,192,220,86,0,0,0,38,0,38,348,282,66,68065,,,,,,,,,,68065,,,,,
"340130022021","Block Group 1, Census Tract 22.02, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,884,884,0,859,0,0,0,0,25,659,138,123,277,74,0,0,47,79,0,79,337,296,41,78103,,,,,,,,,,78103,,,,,
"340130022022","Block Group 2, Census Tract 22.02, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1530,1530,0,1210,0,0,0,0,320,885,14,381,423,67,0,0,0,123,0,123,711,477,234,65075,,,,,,,,,,65075,,,,,
"340130022023","Block Group 3, Census Tract 22.02, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002202","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1536,1536,8,1326,0,0,0,33,169,1125,122,451,331,146,22,16,37,48,0,48,780,633,147,76250,,,,,,,,,,76250,,,,,
"340130022031","Block Group 1, Census Tract 22.03, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002203","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,6609,6609,430,2278,77,1791,0,494,1539,4613,785,1724,1170,674,150,110,0,167,0,167,3687,3305,382,40669,,,,,,,,,,40669,,,,,
"340130022032","Block Group 2, Census Tract 22.03, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002203","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
"340130022041","Block Group 1, Census Tract 22.04, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002204","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,978,978,33,680,0,0,0,90,175,675,16,69,302,192,88,8,0,81,0,81,588,448,140,96534,,,,,,,,,,96534,,,,,
"340130022042","Block Group 2, Census Tract 22.04, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002204","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,944,944,21,923,0,0,0,0,0,930,142,247,187,204,82,68,0,0,0,0,705,582,123,77978,,,,,,,,,,77978,,,,,
"340130022043","Block Group 3, Census Tract 22.04, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002204","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
"340130023001","Block Group 1, Census Tract 23, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1171,1171,8,938,32,0,0,15,178,923,24,352,510,37,0,0,0,51,0,51,810,786,24,150218,,,,,,,,,,150218,,,,,
"340130023002","Block Group 2, Census Tract 23, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,798,798,0,778,0,0,0,20,0,549,75,168,212,89,0,0,5,0,0,0,599,523,76,78984,,,,,,,,,,78984,,,,,
"340130023003","Block Group 3, Census Tract 23, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,2403,2403,56,2198,0,0,0,124,25,1648,139,764,435,165,145,0,0,186,14,172,1263,1093,170,65678,,,,,,,,,,65678,,,,,
"340130023004","Block Group 4, Census Tract 23, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4",,,,1030,1030,0,972,0,0,0,37,21,719,194,137,258,97,33,0,0,72,0,72,533,483,50,,,,,,,,,,,,,,,,
"340130024001","Block Group 1, Census Tract 24, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1411,1411,20,1151,0,0,0,240,0,870,81,383,262,144,0,0,0,73,0,73,681,573,108,48477,,,,,,,,,,48477,,,,,
"340130024002","Block Group 2, Census Tract 24, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,986,986,14,810,0,0,0,143,19,582,90,126,240,126,0,0,0,85,0,85,418,358,60,60669,,,,,,,,,,60669,,,,,
"340130024003","Block Group 3, Census Tract 24, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1396,1396,7,1315,0,0,0,0,74,785,102,214,278,124,67,0,0,70,0,70,737,496,241,36587,,,,,,,,,,36587,,,,,
"340130025001","Block Group 1, Census Tract 25, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1088,1088,101,653,0,22,0,151,161,541,0,252,238,0,51,0,0,49,0,49,432,374,58,,,,,,,,,,,,,,,,
"340130025002","Block Group 2, Census Tract 25, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,2736,2736,0,2655,0,0,0,81,0,1708,132,774,478,115,209,0,0,66,0,66,1074,843,231,,,,,,,,,,,,,,,,
"340130025003","Block Group 3, Census Tract 25, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1561,1561,0,1508,0,0,0,0,53,1047,127,424,389,107,0,0,0,0,0,0,872,682,190,86923,,,,,,,,,,86923,,,,,
"340130026001","Block Group 1, Census Tract 26, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1567,1567,16,1177,0,0,0,113,261,1046,141,530,311,38,14,0,12,227,0,227,678,617,61,30446,,,,,,,,,,30446,,,,,
"340130028001","Block Group 1, Census Tract 28, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"002800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2388,2388,0,2259,0,8,0,0,121,1278,181,440,293,174,168,0,22,278,0,278,1342,1061,281,61515,,,,,,,,,,61515,,,,,
"340130031001","Block Group 1, Census Tract 31, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"003100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1828,1828,73,1683,0,0,0,61,11,1201,322,476,351,39,10,0,3,115,0,115,878,804,74,29891,,,,,,,,,,29891,,,,,
"340130035001","Block Group 1, Census Tract 35, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"003500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1621,1621,0,1573,0,33,0,0,15,760,84,279,198,146,53,0,0,80,0,80,712,552,160,43068,,,,,,,,,,43068,,,,,
"340130035002","Block Group 2, Census Tract 35, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"003500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1288,1288,11,1133,0,0,0,0,144,703,0,215,313,118,57,0,0,41,33,8,686,579,107,,,,,,,,,,,,,,,,
